,Artist,Album
1777,Sir Synthesis,Monsoon
1778,Hovvdy,Everything
1779,The Linda Lindas,Growing Up
1780,Wet Leg,Wet Leg
1781,Suzi Moon,Animal
1782,Wrightwood,Wrightwood
1783,Lung,Come Clean Right Now
1784,Snarls,What About Flowers?
1785,Luliano,De-Algorithm
1786,Gong Wah,A Second
1787,Wednesday,Mowing the Leaves Instead of Piling 'em Up
1788,Primer,Incubator
1789,Rip Pop Mutant,Fluxus Pop
1790,Society 1,Black Level Six
1791,The Mary Veils,Esoteric Hex
1792,Guerilla Toss,Famously Alive
1793,Life Stuff,King Of The Drive Thru
1794,Carla Geneve,Learn To Like It
1795,Namen Namen ,Namen Namen
1796,Mal Blum,Ain't It Nice
1797,Ed Schrader's Music Beat,Nightclub Daydreaming
1798,Orion Sun,Getaway
1799,Hot Flash Heat Wave,Sportswear
1800,Young Guv,GUV III
1801,Jeremy Ivey,Invisible Pictures
1802,November Ultra,bedroom walls
1803,Bakers Eddy,Love Boredom Bicycles
1804,Hatchie,Giving The World Away
1805,Kate Bollinger,Look at it in the Light
1806,Spit City,Carpe Demon
1807,Fontaines D.C.,Skinty Fia
1808,Psychedelic Porn Crumpets,Night Gnomes
1809,redveil,learn 2 swim
1810,Tempers,New Meaning
1811,Papercuts,Past Life Regression
1812,Cache Memori,Why on Earth
1813,No Swoon,Take Your Time
1814,deer scout,Woodpecker
1815,Julie Doiron & Dany Placard,Julie & Dany
1816,Girlpool,Forgiveness
1817,My Idea,CRY MFER
1818,Earth Dad,Birthday
1819,Kindsight,Swedish Punk
1820,Bronze,Absolute Compliance
1821,Sprints,A Modern Job EP
1822,Kate Clover,Bleed Your Heart Out
1823,Death Lens,No Luck
1824,CDSM,Hell Stairs
1825,"Particle Kid, Moskito",Time Capsule
1826,Renata Zeiguer,Picnic in the Dark
1827,Dream Phases,New Distractions
1828,Willie Nelson ,A Beautiful Time
1829,Butterfly Garden,...And Everybody Else
1830,Son House,Forever on my Mind
1831,The Rosie Varela Project,What Remains
1832,Sean Dimitrie,Fresh Air
1833,Loki's Folly,Sisu
1834,Blond in Car,Secret When You See One
1835,Similar Kind,"Everything from the Past, Here Now"
1836,Blushh,C'est La Vie!
1837,Miynt,Lonely Beach
1838,Jackson Baker,Moo Moo
1839,Melody's Echo Chamber,Emotional External
1840,Vero,Unsoothing Interior
1841,TOPS,Empty Seats
1842,Sea Power,Everything Was Forever
1843,WAVES,Take It or Leave It
1844,Post Animal,Love Gibberish
1845,Sea Lemon,Close Up
1846,The Smile ,A Light for Attracting Attention
1847,Sharon Van Etten,We've Been Going About This All Wrong
1848,Fly Anakin,Frank
1849,The Main Squeeze,To Be Determined
1850,Flight Mode,Torshov '05
1851,Defcee and Boathouse and Mother Nature,For All Debts Public and Private
1852,Blunt Chunks,Blunt Chunks
1853,Flamango Bay,The Fool
1854,Belle and Sebastian ,A Bit of Previous
1855,Hater,Sincere
1856,Yves Jarvis,The Zug
1857,Weird Nightmare & Bully,Weird Nightmare
1858,Son Lux & Mitski & David Byrne,Everything Everywhere All at Once (OST)
1859,Cool Original,"outtakes from ""bad summer"""
1860,Hector Morlet,Music for Squares
1861,The Curls ,Smothered and Covered
1862,The Slaps,Tomato Tree
1863,Porridge Radio,"Waterslide, Diving Board, Ladder To The Sky"
1864,Cola,Deep in View
1865,Weird Nightmare,Weird Nightmare
1866,Just Mustard,Seed
1867,Horsegirl,Dirtbag Transformation (Still Dirty)
1868,fanclubwallet,You Have Got to Be Kidding Me
1869,Gentle Heat,Sheer
1870,Kisskadee,Black Hole Era
1871,JOHN TSUNG,Empire Postcards
1872,Dehd,Blue Skies
1873,Slang,Cockroach in a Ghost Town
1874,Being Dead,Fame Money Death By Drive By
1875,Sophie Powers,Red In Revenge
1876,FEAR THE DEAN,Have Some Fun
1877,PUP,THE UNRAVELING OF PUPTHEBAND
1878,Angel Olsen,Big Time
1879,Panda Riot,Extra Cosmic
1880,Tomás Doncker & The True Groove All Stars,Endangered
1881,The Weel Workers,Suck It Up
1882,Big Joanie,Happier Still
1883,Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit"
1884,Nick Sheppard & Marigold Sun,Pratunam
1885,Cola ,Deep in View
1886,La Femme,Sacate La
1887,Oval Portraits,Fake Fealty
1888,Sister Ray,Communion
1889,Drive-By Truckers,Weclome 2 Club XIII
1890,Lettuce,thee s
1891,Ben Marc,Glass Effect
1892,DeWolff,Wolff pack
1893,Warpaint,Radiate Like This
1894,Ebi Soda,Honk If You're Sad
1895,A.A. Williams,Evaporate
1896,Alex The Astronaut,Airport
1897,Caleb Nichols,Run Rabbit Run
1898,Frankie and The Witch Fingers,Cookin'
1899,Saajtak,For The Makers
1900,Adrian Quesada,Boleros Psicodélicos
1901,bex,Move It Or Lose It
1902,Francis Lehaie ,L'oiseau refuse d'aller au sol
1903,Trace Decay,Paradigm
1904,Working Men's Club,Ploys
1905,Blynd Birds,Songs to Sink Yachts To
1906,Shelly Archer,Lovebird
1907,Catbath,Invisible Racecar
1908,Homewrecker & The Bedwetters,Gay Onstage & Full Rage
1909,The Frightnrs,Always
1910,Polica,Madness
1911,Kamikaze Nurse,+
1912,Bread Pilot,New To You
1913,Deadly Cliffs,Shut Your Ears!
1914,kelz,5am and I Can't Sleep
1915,Jasmyn ,In the Wild
1916,Little Brazil,Just Leave
1917,Marta Knight,Strange Times Forever
1918,Executioner's Mask,Winterlong
1919,Tomberlin,I Don't Know Who Needs to Hear This
1920,Wilco,Cruel Country
1921,P.H.F.,Purest Hell
1922,Los Saints,Welcome to Confusion
1923,Jeshi,Universal Credit
1924,Gaby Moreno,Alegoria
1925,Fox Fagan,Daydream Mindtones
1926,Joyce Manor,40 oz. to Fresno
1927,Modern English,After the Snow
1928,Ravyn Lenae,HYPNOS
1929,Hovvdy,billboard for my feelings
1930,supernowhere,Skinless Takes a Flight
1931,KITIMOTO,Vintage Smell
1932,Keep For Cheap,Bundle
1933,Ask For Elizabeth,Nightmare
1934,Pehuenche,Vida Ventura
1935,Dad Bod,Pastels
1936,Michael Rault,Michael Rault
1937,Rum Jungle,Everything is Easy
1938,Tanika Charles,Papillon De Nuit: The Night Butterfly
1939,Sweet Pill,Where The Heart Is
1940,Sarah Kinsley,Cypress
1941,Diane Coffee,With People
1942,Half String,A Fascination With Heights
1943,Lumberob,Language Learner
1944,sad cell,singles
1945,Pi Ja Ma,Seule sous ma frange
1946,Parquet Courts,Sympathy for Life
1947,Hercules & Love Affair,In Amber
1948,Martin Courtney,Magic Sign
1949,The Burning Hell,Garbage Island
1950,Katie Bejsiuk,The Woman on the Moon
1951,A House Safe For Tigers,Transience
1952,Honeyvein,White Knuckles
1953,Drugdealer,Madison
1954,Yellow Pills,Too Many Metrics
1955,Busty and the Bass,KARNEVAL
1956,Flasher,Love Is Yours
1957,Pastel Blank,Pastel Blanc
1958,Thee Sacred Souls,Easier Said Than Done
1959,TV Priest,My Other People
1960,Yaya Bey,Remember Your North Star
1961,The Dream Syndicate,Ultraviolet Battle Hymns and True Confessions
1962,Soccer Mommy,"Sometimes, Forever"
1963,Horse Jumper of Love,Natural Part
1964,Sound of Ceres ,Emerald Sea
1965,Jessica Boudreaux,I Think My Heart Loves to Break
1966,Teddy and the Rough Riders,Teddy and the Rough Riders
1967,Field Guides,Ginko
1968,King Ropes ,Super Natural
1969,The Valery Trails,Dissappear
1970,Young Guv,GUV IV
1971,Automatic,Excess
1972,Bloomsday,Place To Land
1973,Erin Anne,Do Your Worst
1974,Petrol Girls,Baby
1975,Grace Ives,Janky Star
1976,Sweeping Promises,Hunger for a Way Out
1977,Momma,Household Name
1978,NoSo,Stay Proud of Me
1979,Jackie Kean,Jackie Kean
1980,Tastefull,Tastefull
1981,Moor Mother,Jazz Codes
1982,Goodnight Sunrise ,Wait for It
1983,Minru,Liminality
1984,Rolling Blackouts Coastal Fever,Endless Rooms
1985,Metric,Formentera
1986,James Righton ,"Jim, I'm Still Here"
1987,Katalyst ,Katalyst JID013
1988,Viagra Boys,Cave World
1989,Husbands,Full-On Monet
1990,Wu-Lu,Loggerhead
1991,Litvar,No One Tastes Like You
1992,Kimberly Morgan York,Keep On Goin'
1993,black midi,Hellfire
1994,Tijuana Panthers,Halfway to Eighty
1995,JayWood,Slingshot
1996,Steve Lacy,Gemini Rights
1997,Lil Silva,Yesterday Is Heavy
1998,Mapache,Roscoe's Dream
1999,PACKS,WOAH
2000,beabadoobee,Beatopia
2001,Rachel Bobbitt,The Ceiling Could Collapse
2002,Desario,Signal and Noise
2003,Typical Girls,Typical Girls
2004,Only Child Tyrant,Time To Run
2005,The A's,Fruit
2006,Lynn Crossett,In the Company of a Song
2007,Goose,Dripfield
2008,Dylan Moon,Option Explore
2009,Twen,One Stop Shop
2010,Marble,The Shadow In Me
2011,Dimestore Dolls,Wooly Mamas
2012,Elijah Johnston,Day Off
2013,Spacemoth,No Past No Future
2014,Wylderness,Big Plans for a Blue World
2015,TRAAMS,Personal Best
2016,Loren Beri,Stray Cat Kingdom
2017,She & Him,Melt Away: A Tribute To Brian Wilson
2018,49th & Main,Must Be Nice
2019,Danger Mouse & Black Thought,Auquamarine
2020,Night Moves,The Redaction
2021,Cathedral Ceilings,Summer of Misguided Dynamite
2022,Fashion Club,Scrutiny
2023,Caregiver,Bathing in Yesterday's Fires
2024,Pool Kids,Pool Kids
2025,Enumclaw,Cowboy Bebop
2026,Mike and the Moonpies,One to Grow On
2027,Near Beer,Near Beer
2028,Plastic Picnic,As Long as You Need
2029,Young the Giant,Act I: Origins
2030,Neighbor Lady,For the Birds
2031,Dayglow,Then It All Goes Away
2032,The Soft Hills,Viva Chi Vede
2033,Jacob Turnbloom,Microdose Singles
2034,Maddie + The Deadnames,Self Titled
2035,The Sadies,Colder Streams
2036,Cuco,Fantasy Getaway
2037,quinn,quinn
2038,RY X,Blood Moon
2039,Biche & Pearl & The Oysters,Coordonnees
2040,Plastic Rhino,Terminus
2041,Interpol,The Other Side of Make-Believe
2042,Maggie Rogers,Surrender
2043,Rough Church,Late Life Lightning
2044,Lava La Rue,Hi-Fidelity
2045,Florist,Florist
2046,Wombo,Fairy Rust
2047,Good Looks,Bummer Year
2048,Our Last Daze,*UNNAMED* UPCOMING ALBUM
2049,Phony,At Some Point You Stop
2050,Patrick Holland,You're The Boss
2051,Emily Yacina,All The Things
2052,Buttering Trio,Foursome
2053,Kuedo,Infinite Window
2054,Cheekface,Too Much To Ask
2055,Sheenah Ko,Future Is Now
2056,Σtella,Up and Away
2057,Naima Bock,Giant Palm
2058,1st Base Runner,Light Roars
2059,Sam Gendel,SUPERSTORE
2060,KALI,Maltman and Effie
2061,Jonah Tolchin,Lava Lamp
2062,Senseless Optimism,It Gets Better
2063,Loop,Sonancy
2064,Katy J Pearson,Sound of the Morning
2065,of Montreal,Freewave Lucifer f<ck f^ck f>ck
2066,DOMi & JD BECK,NOT TiGHT
2067,Launder ft. Soko,Happening
2068,Woodlock,Bermuda Sea
2069,Montell Fish,JAMIE
2070,Tallies,Patina
2071,Kokoroko,Could We Be More
2072,Sylvan Esso,No Rules Sandy
2073,Rich Ruth,"I Survived, It's Over"
2074,Danger Mouse & Black Thought,Cheat Codes
2075,Improvement Movement,"Don't Delay, Join Today! "
2076,Worthitpurchase,Truthtelling
2077,The Wheel Workers,Harbor
2078,Kenny Normal ,Upcoming Kenny Normal EP
2079,Tony Molina,In The Fade
2080,Dust Star,Open Up That Heart
2081,Jennifer Vanilla,Castle In The Sky
2082,Eliza Niemi,Staying Mellow Blows
2083,Zenizen,POC (Proof of Concept)
2084,Beach Rats,Rat Beat
2085,Coupons,Wasted Intimacy
2086,The Racer,Blush
2087,Cooper Kenward,Cooper Kenward
2088,Kiwi Jr,Chopper
2089,Royel Otis,Bar N Grill
2090,Bakar,Nobody's Home
2091,Trent Wilson,Novocaine
2092,CONWAYTHEWHALE,THE WAY THAT YOU LOVE
2093,Marble,the shadow in me
2094,The Berries,High Flying Man
2095,flipturn,Shadowglow
2096,Attic Ted,13 Select Home Recordings
2097,Triathalon,Spin
2098,Circa Waves,Hell On Earth
2099,Sleeping Jesus,Leave The Party Early
2100,Tetsuians,Repairs and Alterations
2101,Why Bonnie,90 in November
2102,THICK,Happy Now
2103,They Kiss,Feeling With You
2104,Moreish Idols,Float
2105,Stella Donnelly,Flood
2106,Terence Etc. ,V O R T E X
2107,The Mountain Goats,Bleed Out
2108,Zannie,How Do I Get That Star
2109,Thee Sacred Souls,Thee Sacred Souls
2110,Kristiane,State Lines
2111,Teen Suicide,honeybee table at the butterfly feast
2112,Dendrons,Album Title: 5-3-8
2113,Au Suisse,Au Suisse
2114,Oneida,Success
2115,S. Raekwon,I Like It When You Smile
2116,Baseball Gregg,Pastimes
2117,Eyedress,FULL TIME LOVER
2118,Kid Bloom,Highway
2119,Brother Swan,Loom
2120,LIFE,North East Coastal Town
2121,CLAMM,Care
2122,Monolithe Noir,Rin
2123,Living Hour,Someday is Today
2124,Kills Across The River,Mutt
2125,Unloved,The Pink Album
2126,Ethan Larsh,The Emperor
2127,Ron Gallo,ENTITLED MAN
2128,Soaked Oats,The Way It Works
2129,Shutups,Televised Hit & Run
2130,Pianos Become the Teeth,Drift
2131,Röyksopp,Profound Mysteries II
2132,FLOCKS,You Were Probably Younger Then
2133,Fancey,Star Dreams
2134,Thanya Iyer,Rest
2135,Love Tractor,Themes From Venus
2136,Paper Pools,It's In Our Mind
2137,Stockhausen and The Amplified Riot,Stockhausen and The Amplified Riot
2138,Diver Through,All Nighter
2139,The Holdings,Father and Son
2140,Maddie Zahm,You Might Not Like Her
2141,Charlie Burg,Infinitely Tall
2142,Magro,II
2143,OSEES,A Foul Form
2144,Phoenix,Tonight
2145,Two Door Cinema Club,Keep On Smiling
2146,Aprile,From Heaven
2147,Lukka,Something Human
2148,Modern Nun,Name Extended
2149,Coastwest Unrest,The Darkest Brilliance
2150,Anarbor,Love & Drugs
2151,Secret Machines,Day 21/Dreaming of Dreaming
2152,Native Sun,There's Revolution
2153,Dearly Beloved,Walker Park
2154,Ginger Root,Nisemono
2155,Cults,Host B Sides & Remixes
2156,BADSOMA,Heat and Disorder
2157,New Age Healers,Demolition Stories
2158,Air Waves,The Dance
2159,The Paranoyds,Talk Talk Talk
2160,Built To Spill,When The Wind Forgets Your Name
2161,The Afghan Whigs,How Do You Burn?
2162,Santigold,Spirituals
2163,Surf Curse,Self Portrait
2164,Rental House,Sunday Scaries
2165,Bibi Club,Le soleil et la mer
2166,The Garden,Horsepoop on Route 66
2167,Julia Jacklin,Pre Pleasure
2168,Madame Gandhi,"""Crystals & Congas"""
2169,Bleary,Bleary
2170,Dry Cleaning,"""Gary Ashby"""
2171,Blood Orange,Four Songs
2172,Hellcat Bloom,semi-sweet
2173,The Beths,Expert in a Dying Field
2174,Little Dragon,Opening The Door
2175,Kenny Beats,Louie
2176,Party Van,Moo Moo/Purple People
2177,Mo Troper,MTV
2178,The Lounge Society,Tired of Liberty
2179,Miloe,gaps
2180,Preoccupations,Arrangements
2181,Scone Cash Players,Brooklyn to Brooklin
2182,The Black Angels,Wilderness of Mirrors
2183,Danielle Ponder,Some of Us Are Brave
2184,Son Little,Like Neptune
2185,Young Jesus,Sheperd Head
2186,Marina Allen,Centrifics
2187,The Murlocs,Rapscallion
2188,The Mommyheads,Genius Killer
2189,PALE DIAN,MeLt
2190,Miya Folick,2007
2191,Sudan Archives,Natural Brown Prom Queen
2192,Blame My Youth,"""SOS"""
2193,Beau,Life Twice
2194,Death Cab For Cutie,Asphalt Meadows
2195,The fin.,Outer Ego
2196,Fake Palms,Lemons
2197,Starcrawler,She Said
2198,Mercyland,We Never Lost a Single Game
2199,Iron & Wine,Lori
2200,EUCA,Transitional Period
2201,Kid Kapichi,Here's What You Could Have Won
2202,Upchuk,Sense Yourself
2203,Nation of Language,"""From The Hill"""
2204,Bloods,"Together, Baby!"
2205,OFF!,Free LSD
2206,Courting,Guitar Music
2207,Editors,EBM
2208,mynameisleonidas,mynameisleonidas
2209,Melody's Echo Chamber,Unfold
2210,Tim Burgess,Typical Music
2211,Mamalarky,Pocket Fantasy
2212,Perera Elsewhere,Home
2213,Pretty Sick,Makes Me Sick Makes Me Smile
2214,Floral Cow,Wasteland Disco
2215,Sad Cell,HORSELESS
2216,The Craigs,Nicotine
2217,Lung,Let It Be Gone
2218,jagwar twin,33
2219,A Shoreline Dream,Loveblind
2220,Couch Prints,Waterfall
2221,Zoon,A Sterling Murmuration
2222,Sharky,People Are Strange
2223,Shannen Moser,The Sun Still Seems to Move
2224,LCD Soundsystem,"""new body rhumba"""
2225,parthenope,Blue Note Re:Imagined II
2226,Korean Boyfriend,YELLOW
2227,Dear Boy,Forever Sometimes
2228,Coma Girls,No Umbrella For Star Flower
2229,LATENIGHTJIGGY,Flavors 3
2230,Braxton Cook,Black Mona Lisa
2231,Kooky Bombshell,Kooky Bombshell
2232,Future Teens,Self Help
2233,Yawn Mower,To Each Their Own Coat
2234,Eerie Wanda,Internal Radio
2235,Late Cambrian,Future Snacks
2236,Mr. Sam & The People People,People People People People!
2237,THUS LOVE,Memorial
2238,Henry Hall,Are You Kidding Me?????
2239,Pollyanna,Slime
2240,Titus Andronicus,The Will to Live
2241,MILLY,Eternal Ring
2242,JORDANN,Safe Space
2243,The Band Ice Cream,PLAY DEAD
2244,Ganser,Ganser
2245,Sol Messiah,GOD COMPLX
2246,Open Mike Eagle,Component System With the Auto Reverse
2247,Alex G,God Save the Animals
2248,Surf Curse,Magic Hour
2249,Katmaz,Tell Me How Great You Are
2250,ELIZA,A Sky Without Stars
2251,Glassreel,Lustre
2252,Dijon,Nico's Red Truck
2253,Dijon,Absolutely
2254,Indigo Sparke,Hysteria
2255,Dungen (pron. Doon-Yen),En Är För Mycket och Tusen Aldrig Nog
2256,Disq,Desperately Imagining Someplace Quiet
2257,Alvvays,Blue Rev
2258,Enumclaw,Save the Baby
2259,October Drift,I Don't Belong Anywhere
2260,Sister Wife,Sugar Coated Sadness
2261,St. Lucia,Utopia
2262,Isabella Manfredi,izzi
2263,Blueprint Tokyo,Cinema Sounds
2264,Vivian,Pressure Makes Diamonds
2265,Pixies,Doggerel
2266,Charlie Martin,Imaginary People
2267,Brooke Annibale,Better By Now
2268,Courtney Marie Andrews,Loose Future
2269,Babe Rainbow,The Organic Band
2270,Mike Adams at his Honest Weight,Graphic Blandishment
2271,Ghost Light,Ghost Light
2272,NNAMDI,Please Have a Seat
2273,Johanna Warren,Lessons for Mutants
2274,Passion Fruit Boys,Passion Fruit Boys
2275,ooi,Good Luck Charms
2276,Dawn to Dawn,Postcards From The Sun To The Moon
2277,Franc Moody,Into the Ether
2278,Dayglow,People in Motion
2279,Sorry ,Anywhere But Here
2280,Wild Pink,ILYSM
2281,Bolinas,Heavy Easy Listening
2282,Sports Team,Gulp
2283,Plains,I Walked With You A Ways
2284,Black Lips,Apocalypse Love
2285,Dry Cleaning,Stumpwork
2286,The 1975,Being Funny in a Foreign Language
2287,Winter,What Kind of Blue Are You?
2288,Whitmer Thomas,The Older I Get The Funnier I Was
2289,Frankie Cosmos,Inner World Peace
2290,Pinkshift,Love Me Forever
2291,Arctic Monkeys,The Car
2292,The Orielles,Tableau
2293,Nick Campbell Destroys,Sunday
2294,Brutus,Unison Life
2295,Field Medic,grow your hair long if you're wanting to see something that you can change
2296,Palm,Nicks and Grazes
2297,Louis Cole,Quality Over Opinion
2298,Fazerdaze,Break!
2299,The Jack Moves,Cruiserweight
2300,Arjuna Oakes & Serebii,Final Days
2301,Nick Hakim,Cometa
2302,zzzahara,Liminal Spaces
2303,Sly5thAve & JSWISS,Somebody's Gotta Do It
2304,Blame My Youth,They Only Love You When You're Dead
2305,Waterflyy,Stand Tall
2306,Cmon Cmon,Belgium
2307,Jason Anderson,"Fredericton, New Brunswick"
2308,Dead Gowns,How
2309,Lucrecia Dalt,Ay!
2310,A.O. Gerber,Meet Me At The Gloaming
2311,Drugdealer,Hiding In Plain Sight
2312,Sofie Royer,Harlequin
2313,Rubblebucket,Earth Worship
2314,Shutups,I can't eat nearly as much as I want to vomit
2315,Garrett T. Capps & NASA Country,People Are Beautiful
2316,ribbon stage,Hit With The Most
2317,Melby,Looks Like A Map
2318,Julianna Rolino,All Blue
2319,Dazy,OUTOFBODY
2320,SOBS,Air Guitar
2321,Girlpuppy,When I'm Alone
2322,Alms,Did I Ask?
2323,Batooter,OYSTER
2324,babehoven,Light Moving Time
2325,scout gillett,no roof no floor
2326,Fauness,The Golden Ass
2327,No Signal,"""Embers"""
2328,Glorybots,"""Servile"
2329,Atta Boy,Crab Park
2330,La Femme,Teatro Lucido
2331,"Drugdealer, Kate Bollinger",Hiding in Plain Sight
2332,Daisy the Great,All You Need Is Time
2333,Swim Jeans,Swim Jeans
2334,easy life,MAYBE IN ANOTHER LIFE
2335,Field Guide,Field Guide
2336,Katie Lass,Hypnopomp
2337,Talkdemonic,Various Seasides
2338,The Brazen Youth,"Eagle, Idaho"
2339,Fantasy Camp,Casual Intimacy
2340,Big Joanie,Back Home
2341,Weyes Blood,"And in the Darkness, Hearts Glow"
2342,Nick Campbell Destroys,Art
2343,Detroit Rebellion,Fake News
2344,Bedouin Soundclash,We Will Meet in a Hurricane
2345,Melby,Looks Like a Map
2346,Bon Enfant,Diorama
2347,Cumulus,Something Brigther
2348,Aoife Nessa Frances,Protector
2349,Conner Cherland,Call Waiting
2350,Rayland Baxter,If I Were a Butterfly
2351,Olivia Barton,This is a Good Sign
2352,HATAALII,Land of Poor Chance
2353,HATAALII,President's Got Me All Night Long
2354,Katy Rea,The Urge that Saves You
2355,ghost orchard,rainbow music
2356,MorMor,Semblance
2357,Parkland,Parkland
2358,Hans Pucket,No Drama
2359,Turnover,Myself in the Way
2360,Smut,How the Light Felt
2361,Tasche and the Psychedelic Roses,tasche and the psychedelic roses
2362,Molly Burch,Molly Burch Xmas Album
2363,The Selfless Lovers,When The Bar Closes
2364,Oberon Rose,"Purple, Blue, & Crimson"
2365,DARKSOFT,Beigification
2366,Bicycle Inn,"Baldr the Beautiful is Dead, is Dead"
2367,Marcus Gad,"""Long Way Home"""
2368,Tenci,"A Swollen River, A Well Overflowing"
2369,Shame,Six-Pack (radio edit)
2370,Kate Bollinger,J'aime les filles
2371,DIE SPITZ,Teeth
2372,Fixtures,Hollywood Dog
2373,9TooDeep,The Shameless Posessive
2374,Brockhampton,TM
2375,Thee Sacred Souls,Love Is The Way
2376,Rozi Plain,Prize
2377,Arlo Parks,Weightless
2378,Billy Nomates,CACTI
2379,Crooks & Nannies,No Fun
2380,Little Simz,No Thank You
2381,Toro y Moi,Mahal
2382,River Sinclaire,Driving
2383,The Darling Fire,Distortions
2384,Fran ,Leaving
2385,CVC,Get Real
2386,WILSON/Jones,Through My Eyes
2387,Los B****os,Los Chrismos
2388,Bass Drum of Death,Say I Won't
2389,Bleach Burn,Silver Linings
2390,Leland Whitty,Anyhow
2391,Seun Kuti & Black Thought,African Dreams
2392,Jazz is Dead,Jazz is Dead 015
2393,Slowe,Tru Thoughts 2022
2394,Binary Sunset,Trans-en-Provence
2395,Acre Memos,A Collection of Bird Songs
2396,Montell Fish,Her Love Still Haunts Me Like a Ghost
2397,Electric Jane,Electrric Jane
2398,Uni and the Urchins,SIMULATOR
2399,Mary Middlefield,Thank You Alexander
2400,July Talk,Remember Never Before
2401,Dana Why,Kneel
2402,Dana Buoy,"Experiments in Plant Based Music, Vol. 1"
2403,John Moods,The Great Design
2404,Paul Spring,Thunderhead
2405,The Stacks,Lay Me Down To Rest
2406,Babitha,Brighter Side of Blue
2407,Daughter,Be On Your Way
2408,Bobbie Lovesong,On The Wind
2409,King Tuff,Smalltown Stardust
2410,Half Gringa,Ancestral Home
2411,Eagle Johnson,Wild Heart
2412,Jonah Yano,portait of a dog
2413,Anna Tivel,Outsiders
2414,Mirabelle,Flickering Lights
2415,The Arcs,Electrophonic Chronic
2416,San Tropez,Maybe Tomorrow
2417,Glosser,Downer
2418,The Moss,Insomnia
2419,Balk,Bulk
2420,The Love Buzz,Here Comes The Scum
2421,Lou Tides,Infinite Loop
2422,Crosslegged,Another Blue
2423,Bumpy,Morning Sun EP
2424,Young Fathers,Heavy Heavy
2425,Geoff Bradford,The Voyage Out
2426,State's UP,State's UP
2427,boygenius,20
2428,Yves Tumor,Echolalia
2429,Unknown Mortal Orchestra,Layla
2430,Kelela,Raven
2431,Andy Shauf,Norm
2432,bdrmm,It's Just a Bit of Blood
2433,Narrow Head,Moments of Clarity
2434,Jessica Winter,Limerence
2435,babyfang,In The Face Of
2436,Applesauce Tears,Artifacts
2437,Mynolia,All Things Heavy
2438,Somebody's Child,Somebody's Child
2439,Emelia Austin,From Another Sky
2440,These People,In Place of Time
2441,White Reaper,Asking For A Ride
2442,khai dreams,Absolute Heartbreak
2443,Amtrac,Extra Time
2444,"Amtrac, Samuel T. Herring",Extra Time
2445,Wednesday,"""Chosen to Deserve"""
2446,Wesley Joseph,GLOW
2447,Robert Glasper,Black Radio III
2448,NxWorries,Where I Go (single)
2449,Pink Fuzz,Vitals
2450,Paramore,This Is Why
2451,Parannoul,After the Magic
2452,Harry Cloud,The Cyst
2453,Geese,Cowboy Nudes
2454,Will Epstein,Wendy
2455,Rikas,Goodbye Sunshine
2456,Willie Stratton ,Drugstore Dreamin'
2457,Future Crisis Klub,Future Crisis Klub
2458,Yo La Tengo,This Stupid World
2459,Pile,All Fiction
2460,@,Mind Palace Music
2461,Afternoon Bike Ride,Glossover
2462,Five State Drive TX,Electronic Waste
2463,Keep,Happy in Here
2464,Pink Sky,Total Devotion
2465,Hey Hey My My,High_Life
2466,Quasi,Breaking the Balls of History
2467,Fascinations Grand Chorus,Terror in the Night
2468,Spitting Image,Full Sun
2469,Pearla,"Oh Glistening Onion, The Nighttime Is Coming"
2470,Wax Tailor,Fishing For Accidents
2471,Lowly,Keep Up The Good Work
2472,Spiral XP,It's Been a While
2473,Anna B Savage,inFLUX
2474,Ber,Halfway
2475,Madame Gandhi,Vibrations
2476,Model/Actriz,Dogsbody
2477,Runner,"Like Dying Stars, We're Reaching Out"
2478,Hifi Sean and David McAlmont,Happy Ending
2479,Dobbeltgjenger,The Twins
2480,Skull Practitioners,Negative Stars
2481,shame,Food For Worms
2482,Kate Fagan,I Don't Wanna Be Too Cool
2483,Lucero,Should've Learned By Now
2484,Gabrielle Shonk,Across the Room
2485,Tanukichan,Gizmo
2486,Mary Anne's Polar Rig,Makes You Wonder
2487,The Waeve,The Waeve
2488,Sun Room ,Outta Their Minds
2489,Isaac Waters,Extended Play 001
2490,Miss Grit,Follow the Cyborg
2491,Dougie Poole,The Rainbow Wheel of Death
2492,Whose Rules,Halser
2493,Donny Hart ,Pink Cloud
2494,Waldo Witt,"Long Daze, Dark Nights"
2495,LANNDS,Music for the Future
2496,Spaceport,Window Seat
2497,Ivy ,Apartment Life
2498,Bridal Party,Cool Down
2499,Bully ,"""Lose You (feat. Soccer Mommy)"""
2500,Grade 2,Grade 2
2501,Death Valley Girls,Islands in the Sky
2502,M.U.T.T.,Bad to the Bone
2503,Harbour,"To Chase My Dreams, Or to Just Lie Down"
2504,Vosh,Vessel
2505,Florian's Creek,Happy Music For Depressed People
2506,Adi Oasis,Lotus Glow
2507,Weval,Remember
2508,Tagua Tagua,Tanto
2509,D. Fagan,From The Plateau
2510,87 and the Toys,The Smile Room
2511,Dick Stusso,S.P.
2512,The Minks,Creatures of Culture
2513,Yves Tumor,"Praise a Lord Who Chews But Which Does Not Consume; (Or Simply, Hot Between Worlds)"
2514,Unknown Mortal Orchestra,V
2515,McKinley Dixon,Beloved! Paradise! Jazz!?
2516,Dazy,Otherbody
2517,deathcrash,Less
2518,"Black Country, New Road",Live at Bush Hall
