,Artist,Album
1245,Alex Little and The Suspicious Minds,Waiting to Get Paid
1246,Eleventh Dream Day,Since Grazed
1247,LAPêCHE,Blood in the Water
1248,Ratboys,"Happy Birthday, Ratboy"
1249,Small Black,Cheap Dreams
1250,Chad VanGaalen,World's Most Stressed Out Gardener
1251,Death From Above 1979,Is 4 Lovers
1252,Hannah Jadagu,What Is Going On?
1253,Flock of Dimes,Head of Roses
1254,Major Murphy,Access
1255,The Royal Arctic Institute,Sodium Light
1256,BROCKHAMPTON,"Roadrunner: New Light, New Machine"
1257,Tone Chop & Frost Gamble,underestimated
1258,Mac Irv,The Breakthrough
1259,Michie Mee,Bahdgyal's Revenge
1260,Parker Longbough,Crackle / Hiss
1261,THE BLOSSOM,97 BLOSSOM
1262,SPIRIT OF THE BEEHIVE,"ENTERTAINMENT, DEATH"
1263,"Tyler, The Creator",CALL ME IF YOU GET LOST
1264,Terry Presume,What Box?
1265,Anika,Change
1266,King Woman,Celestial Blues
1267,Molly Burman,Fool Me With Flattery
1268,Mudhoney,Every Good Boy Deserves Fudge (30th Anniversary Deluxe Edition)
1269,Tashaki Miyaki,Castaway
1270,Jesse Marchant,Antelope Running
1271,Vacation Forever,Real Life Sux
1272,Drew Beskin,Problematic for the People
1273,Bobby Gillespie & Jenny Beth,Utopian Ashes
1274,Bonifrate,Corisco
1275,Mother Mother,Inside
1276,Topaz Jones,Don't Go Tellin' Your Momma
1277,Iaian Howie,Patterns
1278,Piroshka,Love Drips And Gathers
1279,alexalone,ALEXALONEWORLD
1280,Wednesday,Twin Plagues
1281,Joe Taylor Sutkowski,Of Wisdom & Folly
1282,Ginger Root,City Slicker
1283,Samia ,Scout
1284,The Murlocs,Bittersweet Demons
1285,ISLAND,Yesterday Park
1286,"CZARFACE, MF DOOM",Super What?
1287,The Mammoths,Lonely Roller
1288,GLOR1A,METAL
1289,Lauren Flax,Out of Reality EP
1290,Aradia,Soar
1291,Death Valley Girls,Street Venom (Deluxe Edition)
1292,Metz,Live at the Opera House
1293,Oscar Anton,Home of Sanity
1294,Amindi,nice
1295,Hiatus Kaiyote,Mood Valiant
1296,Fleece,Stunning and Atrocious
1297,Eyedress,Mulholland Drive
1298,Brittany Howard,Jaime (Reimagined)
1299,Indigo De Souza,Any Shape You Take
1300,Tim Atlas,QUOTA
1301,The Lounge Society,Silk For The Starving
1302,Junior Mesa,Cirque Du Freak
1303,Pachyman,The Return of…
1304,Ora the Molecule,Human Safari
1305,Lowdown Brass Band,The Reel Sessions
1306,Kennedy Williams ,In Between (single)
1307,DARKSIDE,Spiral
1308,The Goon Sax,Mirror II
1309,Lee DeWyze,Ghost Stories
1310,The Scientists,Negativity
1311,Hippo Campus,"Good Dog, Bad Dream"
1312,Liars,The Apple Drop
1313,The Effens,Eventually
1314,Alice Skye,I Feel Better But I Don't Feel Good
1315,Salsa Chest,Activity
1316,Half Moon Run,Inwards & Onwards
1317,Bad Pop ,Dark Metal
1318,Monica LaPlante,Quarantine - EP
1319,Grizfolk,Grizfolk
1320,Jayla Kai,Epitome
1321,Wavves,Hideaway
1322,The Go! Team,Get Up Sequences Part One
1323,Shiny Joe Ryan,Shiny's Democracy
1324,Peyton,PSA
1325,Jackie Hayes,There's Always Going To Be Something
1326,Lex Leosis,Terracotta
1327,Plutonic Lab,The New Ruins- EP
1328,KESMAR,Forver Holiday
1329,The Prefab Messiahs,Music for Concerned Citizens
1330,Dot Allison,Heart-Shaped Scars
1331,Media Jeweler,The Sublime Sculpture of Being Alive
1332,Praises,EP4
1333,girlpuppy,Swan
1334,Bnny,Everything
1335,Zelma Stone,The Best
1336,Mae Powell,Both Ways Brighter
1337,Caitlin Harnett & The Pony Boys,Late Night Essentials
1338,Deantoni Parks,A Self
1339,SEND MEDICINE,By Telepathy & Reputation
1340,Yebba,Dawn
1341,Pony Hunt,VAR!
1342,Jeremy Jay,Devils Daughters
1343,Alan Vega,After Dark
1344,Hein Cooper,Turbulent Heart
1345,George O'Hanlon,The Storm
1346,Cochemea,Vol II: Boca Sewa
1347,My Idea,That's My Idea
1348,Wilder.,BAD BAD LUCK
1349,Zach Kleisinger,Their Symposium
1350,Shannon & The Clams,Year of the Spider
1351,KUNZITE,VISUALS
1352,The Bronx,Bronx VI
1353,Tkay Maidza,"Last Year Was Weird, Vol. 3"
1354,Amsellam,Intertidal
1355,Deafheaven,Infinite Granite
1356,Madi Diaz,History Of A Feeling
1357,Teenage Bottlerocket,Sick Sesh!
1358,LUMP,Animal
1359,Caveman,Smash
1360,Lawson Hull,Hangin' Out with Cowboys
1361,Cartel Madras,The Serpent & The Tiger
1362,LTtheMonk,On The Wall
1363,Baba Ali,Memory Device
1364,Women of the Night,Sub Rosa
1365,Mild High Club,Going Going Gone
1366,Cheekface,Emphatically Mo' (b-sides)
1367,Magdalena Bay,Mercurial World
